cycleLength|cycleLengthNormalized|dataset|emptyStateCycle|oneColCycle|promptsCycle|states|task|totalInteractions|twoStateCycle|userid
0.125|0.125|faa1|True|False|False|[0, 2, 0]|t1|16|True|45
0.125|0.125|faa1|True|False|False|[0, 3, 0]|t1|16|True|45
0.125|0.125|faa1|True|False|False|[0, 3, 0]|t1|16|True|45
0.125|0.125|faa1|True|False|False|[0, 4, 0]|t1|16|True|45
0.07407407407407407|0.07407407407407407|faa1|True|False|False|[0, 1, 0]|t1|27|True|69
0.15789473684210525|0.15789473684210525|faa1|True|False|False|[0, 1, 2, 0]|t1|19|False|81
0.11538461538461539|0.11538461538461539|faa1|False|False|False|[0, 1, 2, 0]|t1|26|False|89
0.2222222222222222|0.2222222222222222|faa1|True|False|False|[0, 1, 2, 3, 4, 5, 0]|t1|27|False|93
0.07407407407407407|0.07407407407407407|faa1|True|False|False|[0, 6, 0]|t1|27|True|93
0.07407407407407407|0.07407407407407407|faa1|True|False|False|[0, 7, 0]|t1|27|True|93
0.2222222222222222|0.2222222222222222|faa1|True|False|False|[0, 8, 9, 10, 11, 12, 0]|t1|27|False|93
0.15384615384615385|0.15384615384615385|faa1|True|False|False|[0, 1, 0]|t2|13|True|37
0.3|0.3|faa1|True|False|False|[0, 1, 2, 0]|t3|10|False|13
0.23076923076923078|0.23076923076923078|faa1|True|False|False|[0, 1, 2, 0]|t3|13|False|57
0.11764705882352941|0.11764705882352941|faa1|True|False|False|[0, 1, 2, 3, 0]|t3|34|False|69
0.11764705882352941|0.11764705882352941|faa1|True|False|False|[0, 4, 5, 6, 0]|t3|34|False|69
0.11764705882352941|0.11764705882352941|faa1|True|False|False|[0, 4, 5, 6, 0]|t3|34|False|69
0.058823529411764705|0.058823529411764705|faa1|True|False|False|[0, 7, 0]|t3|34|True|69
0.1|0.1|faa1|True|False|False|[0, 1, 0]|t3|20|True|85
0.1|0.1|faa1|True|False|False|[0, 2, 0]|t3|20|True|85
0.1|0.1|faa1|True|False|False|[0, 1, 2, 3, 0]|t4|40|False|09
0.1|0.1|faa1|True|False|False|[0, 3, 4, 5, 0]|t4|40|False|09
0.25|0.25|faa1|True|False|False|[0, 5, 4, 6, 7, 8, 2, 9, 10, 3, 0]|t4|40|False|09
0.18181818181818182|0.18181818181818182|faa1|True|False|False|[0, 1, 2, 3, 4, 5, 0]|t4|33|False|109
