dataset|leaves|leavesNotNormalized|maxBranchingFactor|maxBranchingFactorNotNormalized|maxDepth|maxDepthNotNormalized|meanAspectRatio|meanBranchingFactor|meanBranchingFactorNotNormalized|meanDepth|meanDepthNotNormalized|task|totalInteractions|totalNodes|userid
weather1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t3|4|3|21
weather1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t3|13|4|25
weather1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t3|23|4|29
weather1|0.6666666666666666|2|0.6666666666666666|2.0|0.3333333333333333|1.0|1.0|0.2222222222222222|0.6666666666666666|0.2222222222222222|0.6666666666666666|t3|15|3|41
weather1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t3|3|3|45
weather1|0.2857142857142857|2|0.2857142857142857|2.0|0.42857142857142855|3.0|0.5|0.12244897959183673|0.8571428571428571|0.24489795918367346|1.7142857142857142|t3|25|7|53
weather1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t3|6|4|65
weather1|0.25|2|0.25|2.0|0.75|6.0|0.28|0.109375|0.875|0.390625|3.125|t3|20|8|69
weather1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t3|20|5|73
weather1|0.6|3|0.6|3.0|0.4|2.0|0.8|0.16|0.8|0.2|1.0|t3|18|5|77
weather1|0.4|2|0.4|2.0|0.4|2.0|0.6666666666666667|0.16|0.8|0.24|1.2|t3|16|5|93
weather1|0.5|3|0.5|3.0|0.5|3.0|0.6250000000000001|0.1388888888888889|0.8333333333333334|0.2222222222222222|1.3333333333333333|t3|32|6|97
weather1|0.16666666666666666|2|0.16666666666666666|2.0|0.75|9.0|0.18333333333333332|0.0763888888888889|0.9166666666666666|0.4166666666666667|5.0|t4|47|12|01
weather1|0.23076923076923078|3|0.15384615384615385|2.0|0.5384615384615384|7.0|0.3076923076923077|0.07100591715976332|0.9230769230769231|0.23076923076923078|3.0|t4|37|13|05
weather1|0.16666666666666666|1|0.16666666666666666|1.0|0.8333333333333334|5.0|0.33333333333333337|0.1388888888888889|0.8333333333333334|0.4166666666666667|2.5|t4|23|6|113
weather1|0.3|3|0.2|2.0|0.7|7.0|0.2368421052631579|0.09|0.9|0.38|3.8|t4|30|10|117
